,titulo,precio,ciudad,fecha_ini
97,Excursión a montserrat + visita a una bodega,79.9,Barcelona,2024-11-01
98,Free tour de los misterios y leyendas del barrio gótico,0.0,Barcelona,2024-11-01
99,"Excursión a gerona, figueras y museo dalí",79.0,Barcelona,2024-11-01
100,Tour privado por barcelona ¡tú eliges!,160.0,Barcelona,2024-11-01
101,Entrada a la pedrera,29.0,Barcelona,2024-11-01
102,Tour en tuk tuk por barcelona,53.4,Barcelona,2024-11-01
103,Paseo en catamarán al atardecer con música en directo,25.5,Barcelona,2024-11-01
104,Teleférico de montjuïc,16.0,Barcelona,2024-11-01
105,Free tour por el parque güell,0.0,Barcelona,2024-11-01
106,Excursión a tarragona y sitges,98.5,Barcelona,2024-11-01
107,Entrada a l’aquàrium de barcelona,26.0,Barcelona,2024-11-01
108,Visita guiada por la basílica de santa maría del mar,15.0,Barcelona,2024-11-01
109,Espectáculo flamenco en el tablao cordobés,46.0,Barcelona,2024-11-01
110,Paseo en catamarán por barcelona,14.0,Barcelona,2024-11-01
111,Free tour por montjuïc,0.0,Barcelona,2024-11-01
112,Paseo en velero por barcelona,55.0,Barcelona,2024-11-01
113,Visita por el palau de la música catalana,22.0,Barcelona,2024-11-01
114,Free tour por el raval,0.0,Barcelona,2024-11-01
115,Oferta: montserrat + sagrada familia,133.0,Barcelona,2024-11-01
116,Free tour por la barceloneta y el parque de la ciudadela,0.0,Barcelona,2024-11-01
117,"Tour de dalí por cadaqués, figueras y portlligat",159.0,Barcelona,2024-11-01
118,Visita guiada por el spotify camp nou,51.0,Barcelona,2024-11-01
119,Entrada al recinto modernista de sant pau,17.0,Barcelona,2024-11-01
120,Visita de la sagrada familia sin colas,55.0,Barcelona,2024-11-08
121,Free tour por barcelona,0.0,Barcelona,2024-11-08
122,Excursión a montserrat con tren cremallera,57.0,Barcelona,2024-11-08
123,Visita guiada por el parque güell,25.6,Barcelona,2024-11-08
124,Traslados en barcelona,46.0,Barcelona,2024-11-08
125,Sagrada familia con subida a las torres,70.0,Barcelona,2024-11-08
126,Free tour de gaudí y la barcelona modernista,0.0,Barcelona,2024-11-08
127,Tour por la sagrada familia y el parque güell,89.0,Barcelona,2024-11-08
128,Excursión a andorra y aux les thermes,109.0,Barcelona,2024-11-08
129,Tour de barcelona al completo,49.5,Barcelona,2024-11-08
130,Entrada a la casa batlló,35.0,Barcelona,2024-11-08
131,Tarjeta esim civitatis españa,4.1,Barcelona,2024-11-08
132,"Excursión a gerona, figueras y cadaqués",55.0,Barcelona,2024-11-08
133,Autobús turístico de barcelona,33.0,Barcelona,2024-11-08
134,Free tour nocturno por el barrio gótico,0.0,Barcelona,2024-11-08
135,Tour de los misterios y leyendas de barcelona,14.0,Barcelona,2024-11-08
136,Entrada al spotify camp nou,16.0,Barcelona,2024-11-08
137,Excursión a montserrat + visita a una bodega,79.9,Barcelona,2024-11-08
138,Free tour de los misterios y leyendas del barrio gótico,0.0,Barcelona,2024-11-08
139,"Excursión a gerona, figueras y museo dalí",79.0,Barcelona,2024-11-08
140,Tour privado por barcelona ¡tú eliges!,160.0,Barcelona,2024-11-08
141,Entrada a la pedrera,29.0,Barcelona,2024-11-08
142,Tour en tuk tuk por barcelona,53.4,Barcelona,2024-11-08
143,Paseo en catamarán al atardecer con música en directo,25.5,Barcelona,2024-11-08
144,Teleférico de montjuïc,16.0,Barcelona,2024-11-08
