,titulo,descripcion,precio,ciudad,fecha_ini,fecha_fin
131,Tarjeta eSIM Civitatis España,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.10,barcelona,2024-11-08,2024-11-10
132,"Excursión a Gerona, Figueras y Cadaqués","Si estáis en Barcelona y queréis visitar lo mejor de la Costa Brava, no os perdáis esta excursión a Gerona, Figueras y Cadaqués. ¡Tres lugares imprescindibles!",55,barcelona,2024-11-08,2024-11-10
133,Autobús turístico de Barcelona,A bordo del autobús turístico de Barcelona contaréis con dos rutas y múltiples paradas en las que podréis subir y bajar todas las veces que queráis.,33,barcelona,2024-11-08,2024-11-10
134,Free tour nocturno por el Barrio Gótico,En este free tour nocturno por el Barrio Gótico de Barcelona conoceremos la historia de la Ciudad Condal mientras contemplamos su preciosa iluminación.,0,barcelona,2024-11-08,2024-11-10
135,Tour de los misterios y leyendas de Barcelona,En esta ruta nocturna por Barcelona descubriremos las historias y leyendas de la Ciudad Condal en sus calles más antiguas. ¿Listos para desvelar sus misterios?,14,barcelona,2024-11-08,2024-11-10
136,Entrada al Spotify Camp Nou,"Si queréis visitar el estadio del Fútbol Club Barcelona, con esta entrada al Spotify Camp Nou podréis recorrer a vuestro aire el Museo del Barça.",16,barcelona,2024-11-08,2024-11-10
137,Excursión a Montserrat + Visita a una bodega,"En esta excursión a Montserrat no solo disfrutaremos de un tour por la abadía, sino que también degustaremos los vinos y tapas más famosos de Cataluña.",79.90,barcelona,2024-11-08,2024-11-10
138,Free tour de los misterios y leyendas del Barrio Gótico,Acompañadnos en este free tour por Barcelona en el que os contaremos los misterios y leyendas más divertidas del Barrio Gótico. ¡Lo pasaréis en grande!,0,barcelona,2024-11-08,2024-11-10
139,"Excursión a Gerona, Figueras y Museo Dalí","En esta excursión a Gerona y Figueras conoceremos dos de las ciudades más especiales de Cataluña. Además, visitaremos el Museo Dalí, la obra magna del artista.",79,barcelona,2024-11-08,2024-11-10
140,Tour privado por Barcelona ¡Tú eliges!,"Reservando nuestra visita privada tendréis un guía para descubrir Barcelona en exclusiva con vuestra pareja, con tu familia o con tu grupo de amigos.",160,barcelona,2024-11-08,2024-11-10
141,Entrada a La Pedrera,"Adentraos en el mundo arquitectónico de Gaudí visitando la Casa Milà, conocida popularmente como La Pedrera. ¡Todo un imprescindible de Barcelona!",29,barcelona,2024-11-08,2024-11-10
142,Tour en tuk tuk por Barcelona,¿Os gustaría visitar las maravillas de Gaudí desde otro punto de vista? En el tour en tuk tuk por Barcelona recorreremos la ciudad de forma cómoda y divertida.,53.40,barcelona,2024-11-08,2024-11-10
143,Paseo en catamarán al atardecer con música en directo,"Contempla el skyline de Barcelona mientras disfrutas de un paseo en catamarán. Además, escucharás música jazz en vivo. ¡Inolvidable!",25.50,barcelona,2024-11-08,2024-11-10
144,Teleférico de Montjuïc,Con esta entrada al Teleférico de Montjuïc podréis ascender hasta la cima de la montaña con más historia de Barcelona y disfrutar de las vistas de la ciudad.,16,barcelona,2024-11-08,2024-11-10
145,Free tour por el Parque Güell,En este free tour por el Parque Güell conoceremos los puntos más importantes de una de las obras más emblemáticas de Antoni Gaudí. ¡Un recorrido imprescindible!,0,barcelona,2024-11-08,2024-11-10
146,Excursión a Tarragona y Sitges,En esta excursión a Tarragona y Sitges desde Barcelona visitaremos estas dos preciosas localidades de la costa catalana que os enamorarán de principio a fin.,98.50,barcelona,2024-11-08,2024-11-10
147,Espectáculo flamenco en el Tablao Cordobés,"Contagiaos de los ritmos flamencos en el Tablao Cordobés de Barcelona, una experiencia única que podréis completar con una cena gastronómica.",46,barcelona,2024-11-08,2024-11-10
148,Entrada a L’Aquàrium de Barcelona,"Con esta entrada sin colas a L'Aquarium de Barcelona, el más importante del mundo en temática mediterránea, descubriréis numerosas especies marinas.",26,barcelona,2024-11-08,2024-11-10
149,Visita guiada por la basílica de Santa María del Mar,La catedral del mar popularizó uno de los grandes templos de Barcelona. Descubriremos sus secretos en esta visita guiada por la basílica de Santa María del Mar.,15,barcelona,2024-11-08,2024-11-10
150,Paseo en catamarán por Barcelona,En este paseo en catamarán por Barcelona navegaremos a bordo de una embarcación ecológica propulsada por energía solar. ¡Tendréis las mejores vistas!,14,barcelona,2024-11-08,2024-11-10
151,Free tour por Montjuïc,"Naturaleza, historia y miradores protagonizan este free tour por Montjuïc. Un recorrido repleto de curiosidades por la montaña más famosa de Barcelona.",0,barcelona,2024-11-08,2024-11-10
152,Paseo en velero por Barcelona,"En este paseo en velero por Barcelona recorreremos la costa y tendremos las mejores vistas de la Ciudad Condal. Además, podréis bañaros en el Mediterráneo.",55,barcelona,2024-11-08,2024-11-10
153,Visita por el Palau de la Música Catalana,Durante la visita por el Palau de la Música admiraremos la única sala de conciertos Patrimonio de la Humanidad. ¡Uno de los edificios más famosos de Barcelona!,22,barcelona,2024-11-08,2024-11-10
154,Free tour por El Raval,"Animaos a conocer el famoso barrio de El Raval en este free tour por Barcelona. Historias sorprendentes, arte urbano y edificios medievales os están esperando.",0,barcelona,2024-11-08,2024-11-10
155,Free tour por la Barceloneta y el parque de la Ciudadela,En este free tour por la Barceloneta y la Ciudadela visitaremos el parque más grande de la capital catalana y la playa más famosa de Barcelona. ¡Imprescindible!,0,barcelona,2024-11-08,2024-11-10
156,"Tour de Dalí por Cadaqués, Figueras y Portlligat","En esta excursión conoceremos Cadaqués, Figueras y Portlligat, lugares que marcaron la vida de Salvador Dalí. Además, visitaremos dos museos del célebre pintor.",159,barcelona,2024-11-08,2024-11-10
157,Visita guiada por el Spotify Camp Nou,"Recorred junto a un guía experto en fútbol el Spotify Camp Nou, estadio de uno de los mejores equipos de los últimos años: el FC Barcelona.",51,barcelona,2024-11-08,2024-11-10
158,Entrada al Recinto Modernista de Sant Pau,"Con esta entrada al Recinto Modernista de Sant Pau podréis descubrir el conjunto modernista más grande del mundo, obra del arquitecto Lluís Domènech i Montaner.",17,barcelona,2024-11-08,2024-11-10
159,"Excursión a Cardona, Montaña de Sal y Montserrat",En esta excursión viajaremos hasta el siglo IX y nos adentraremos en los vestigios romanos del castillo de Cardona y visitaremos su Montaña de Sal.,110,barcelona,2024-11-08,2024-11-10
