,destination,city,checkin_date,accommodation_type_name,distance,review_score,price_total,hotel_name,class
62,Barcelona,Barcelona,2024-11-08,Hotel,0.79,8.4,406.68,Hotel gótico,4
63,Barcelona,Barcelona,2024-11-08,Hotel,2.44,8.4,355.83,Acta city47,4
64,Barcelona,Barcelona,2024-11-08,Hotel,3.0,8.2,315.08,Catalonia atenas,4
65,Barcelona,Barcelona,2024-11-08,Hotel,1.47,8.3,337.89,Axel two barcelona 4 sup - adults only,4
66,Barcelona,Barcelona,2024-11-08,Hotel,5.2,8.8,410.28,Tembo barcelona,4
67,Barcelona,Barcelona,2024-11-08,Hotel,1.01,8.6,613.08,Hotel royal passeig de gracia,4
68,Barcelona,Barcelona,2024-11-08,Hotel,1.58,8.2,340.08,Hotel concordia barcelona,4
69,Barcelona,Barcelona,2024-11-08,Hotel,2.69,8.5,271.09,Nh sants barcelona,4
70,Barcelona,Barcelona,2024-11-08,Hotel,3.28,8.2,305.08,Catalonia barcelona 505,4
71,Barcelona,Barcelona,2024-11-08,Hotel,2.72,8.6,304.08,Barceló sants,4
72,Barcelona,Barcelona,2024-11-08,Hotel,4.43,8.4,307.23,Vincci bit,4
73,Barcelona,Barcelona,2024-11-08,Apartamento,2.06,8.8,473.52,C211 barcelona apartments,0
74,Barcelona,Barcelona,2024-11-08,Hotel,0.73,8.8,460.06,Casa elliot by bondia hotel group,4
75,Barcelona,Barcelona,2024-11-08,Hotel,3.68,7.9,297.08,Hesperia barcelona del mar,4
76,Barcelona,Barcelona,2024-11-08,Hotel,2.89,8.7,393.62,Acta voraport,3
77,Barcelona,Barcelona,2024-11-08,Hotel,0.72,8.4,395.08,Catalonia eixample 1864,4
78,Barcelona,Barcelona,2024-11-08,Hotel,2.99,8.4,335.98,Ilunion barcelona,4
79,Barcelona,Barcelona,2024-11-08,Hotel,2.03,8.6,450.96,Ofelias hotel 4sup by bondia hotel group,4
