,titulo,precio,ciudad,fecha_ini
95,Tour de los misterios y leyendas de Barcelona,14.0,barcelona,2024-11-01
96,Entrada al Spotify Camp Nou,16.0,barcelona,2024-11-01
97,Excursión a Montserrat + Visita a una bodega,79.9,barcelona,2024-11-01
98,Free tour de los misterios y leyendas del Barrio Gótico,0.0,barcelona,2024-11-01
99,"Excursión a Gerona, Figueras y Museo Dalí",79.0,barcelona,2024-11-01
100,Tour privado por Barcelona ¡Tú eliges!,160.0,barcelona,2024-11-01
101,Entrada a La Pedrera,29.0,barcelona,2024-11-01
102,Tour en tuk tuk por Barcelona,53.4,barcelona,2024-11-01
103,Paseo en catamarán al atardecer con música en directo,25.5,barcelona,2024-11-01
104,Teleférico de Montjuïc,16.0,barcelona,2024-11-01
105,Free tour por el Parque Güell,0.0,barcelona,2024-11-01
106,Excursión a Tarragona y Sitges,98.5,barcelona,2024-11-01
107,Entrada a L’Aquàrium de Barcelona,26.0,barcelona,2024-11-01
108,Visita guiada por la basílica de Santa María del Mar,15.0,barcelona,2024-11-01
109,Espectáculo flamenco en el Tablao Cordobés,46.0,barcelona,2024-11-01
110,Paseo en catamarán por Barcelona,14.0,barcelona,2024-11-01
111,Free tour por Montjuïc,0.0,barcelona,2024-11-01
112,Paseo en velero por Barcelona,55.0,barcelona,2024-11-01
113,Visita por el Palau de la Música Catalana,22.0,barcelona,2024-11-01
114,Free tour por El Raval,0.0,barcelona,2024-11-01
115,Oferta: Montserrat + Sagrada Familia,133.0,barcelona,2024-11-01
116,Free tour por la Barceloneta y el parque de la Ciudadela,0.0,barcelona,2024-11-01
117,"Tour de Dalí por Cadaqués, Figueras y Portlligat",159.0,barcelona,2024-11-01
118,Visita guiada por el Spotify Camp Nou,51.0,barcelona,2024-11-01
119,Entrada al Recinto Modernista de Sant Pau,17.0,barcelona,2024-11-01
120,Visita de la Sagrada Familia sin colas,55.0,barcelona,2024-11-08
121,Free tour por Barcelona,0.0,barcelona,2024-11-08
122,Excursión a Montserrat con tren cremallera,57.0,barcelona,2024-11-08
123,Visita guiada por el Parque Güell,25.6,barcelona,2024-11-08
124,Traslados en Barcelona,46.0,barcelona,2024-11-08
125,Sagrada Familia con subida a las torres,70.0,barcelona,2024-11-08
126,Free tour de Gaudí y la Barcelona modernista,0.0,barcelona,2024-11-08
127,Tour por la Sagrada Familia y el Parque Güell,89.0,barcelona,2024-11-08
128,Excursión a Andorra y Aux Les Thermes,109.0,barcelona,2024-11-08
129,Tour de Barcelona al completo,49.5,barcelona,2024-11-08
130,Entrada a la Casa Batlló,35.0,barcelona,2024-11-08
131,Tarjeta eSIM Civitatis España,4.1,barcelona,2024-11-08
132,"Excursión a Gerona, Figueras y Cadaqués",55.0,barcelona,2024-11-08
133,Autobús turístico de Barcelona,33.0,barcelona,2024-11-08
134,Free tour nocturno por el Barrio Gótico,0.0,barcelona,2024-11-08
135,Tour de los misterios y leyendas de Barcelona,14.0,barcelona,2024-11-08
136,Entrada al Spotify Camp Nou,16.0,barcelona,2024-11-08
137,Excursión a Montserrat + Visita a una bodega,79.9,barcelona,2024-11-08
138,Free tour de los misterios y leyendas del Barrio Gótico,0.0,barcelona,2024-11-08
139,"Excursión a Gerona, Figueras y Museo Dalí",79.0,barcelona,2024-11-08
140,Tour privado por Barcelona ¡Tú eliges!,160.0,barcelona,2024-11-08
141,Entrada a La Pedrera,29.0,barcelona,2024-11-08
142,Tour en tuk tuk por Barcelona,53.4,barcelona,2024-11-08
