,destination,city,checkin_date,accommodation_type_name,distance,review_score,price_total,hotel_name,class
57,Barcelona,Barcelona,2024-11-01,Hotel,1.41,8.6,344.2,Leonardo Hotel Barcelona Gran Via,3.0
58,Barcelona,Barcelona,2024-11-01,Hotel,5.94,8.9,580.96,Gran Hotel La Florida G.L Monumento,5.0
59,Barcelona,Barcelona,2024-11-01,Hotel,0.73,8.8,587.46,Casa Elliot by Bondia Hotel Group,4.0
60,Barcelona,Barcelona,2024-11-08,Hostal o pensión,6.84,6.5,114.0,Private rooms,0.0
61,Barcelona,Barcelona,2024-11-08,Hotel,0.61,7.6,282.0,El Jardi,2.0
62,Barcelona,Barcelona,2024-11-08,Hotel,0.79,8.4,406.68,Hotel Gótico,4.0
63,Barcelona,Barcelona,2024-11-08,Hotel,2.44,8.4,355.83,Acta CITY47,4.0
64,Barcelona,Barcelona,2024-11-08,Hotel,3.0,8.2,315.08,Catalonia Atenas,4.0
65,Barcelona,Barcelona,2024-11-08,Hotel,1.47,8.3,337.89,Axel TWO Barcelona 4 Sup - Adults Only,4.0
66,Barcelona,Barcelona,2024-11-08,Hotel,5.2,8.8,410.28,Tembo Barcelona,4.0
67,Barcelona,Barcelona,2024-11-08,Hotel,1.01,8.6,613.08,Hotel Royal Passeig de Gracia,4.0
68,Barcelona,Barcelona,2024-11-08,Hotel,1.58,8.2,340.08,Hotel Concordia Barcelona,4.0
69,Barcelona,Barcelona,2024-11-08,Hotel,2.69,8.5,271.09,NH Sants Barcelona,4.0
70,Barcelona,Barcelona,2024-11-08,Hotel,3.28,8.2,305.08,Catalonia Barcelona 505,4.0
71,Barcelona,Barcelona,2024-11-08,Hotel,2.72,8.6,304.08,Barceló Sants,4.0
72,Barcelona,Barcelona,2024-11-08,Hotel,4.43,8.4,307.23,Vincci Bit,4.0
73,Barcelona,Barcelona,2024-11-08,Apartamento,2.06,8.8,473.52,C211 Barcelona Apartments,0.0
74,Barcelona,Barcelona,2024-11-08,Hotel,0.73,8.8,460.06,Casa Elliot by Bondia Hotel Group,4.0
75,Barcelona,Barcelona,2024-11-08,Hotel,3.68,7.9,297.08,Hesperia Barcelona Del Mar,4.0
76,Barcelona,Barcelona,2024-11-08,Hotel,2.89,8.7,393.62,Acta Voraport,3.0
77,Barcelona,Barcelona,2024-11-08,Hotel,0.72,8.4,395.08,Catalonia Eixample 1864,4.0
78,Barcelona,Barcelona,2024-11-08,Hotel,2.99,8.4,335.98,Ilunion Barcelona,4.0
79,Barcelona,Barcelona,2024-11-08,Hotel,2.03,8.6,450.96,Ofelias Hotel 4Sup by Bondia Hotel Group,4.0
